RA,Dec,x,y,F814W,err,f475W,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
50.11813,41.7469106,3425.528,816.952,24.81,0.06,26.881,0.082,1.396,0.952,0.189,0.247,26.348,-1.538
50.1126502,41.7423647,3384.457,1255.241,24.8,0.062,26.995,0.06,1.472,0.468,0.255,0.016,26.462,-1.662
50.0711264,41.7644583,645.428,1307.925,23.551,0.034,25.538,0.032,1.122,0.718,0.177,0.006,25.005,-1.454
50.0978226,41.7330768,3143.755,2267.12,24.904,0.076,27.32,0.099,1.773,0.763,0.32,0.113,26.787,-1.883
50.0901792,41.7372154,2636.401,2272.75,24.456,0.052,26.661,0.053,1.399,0.598,0.193,0.154,26.128,-1.672
50.0769735,41.7436417,1790.954,2324.191,22.754,0.027,25.557,0.029,0.999,0.645,0.017,0.098,25.024,-2.27
50.0913953,41.7316626,2927.219,2554.763,25.481,0.067,27.456,0.117,0.918,0.817,0.101,-0.07,26.923,-1.442
50.0901294,41.7093552,3830.179,3884.79,25.418,0.05,27.309,0.082,0.648,0.581,0.124,0.174,26.776,-1.358
50.0482971,41.7316976,1066.23,3932.926,25.282,0.081,27.401,0.106,1.475,0.776,0.291,0.241,26.868,-1.586
50.0796037,41.7136633,3191.043,3973.012,23.474,0.033,25.52,0.035,1.069,0.873,0.178,0.049,24.987,-1.513
50.0822305,41.7117833,3385.091,3997.536,25.379,0.055,27.591,0.096,0.686,0.445,0.076,0.12,27.058,-1.679
50.0832006,41.7111579,3453.796,4002.605,25.331,0.048,27.466,0.095,0.604,0.541,0.078,0.104,26.933,-1.602
50.0874907,41.7082115,3765.398,4035.458,24.11,0.033,26.042,0.065,0.913,1.446,0.097,0.232,25.509,-1.399
50.0805204,41.7114593,3325.194,4071.053,24.695,0.073,26.703,0.093,1.539,1.147,0.317,0.282,26.17,-1.475
50.077883,41.7127488,3156.037,4081.008,24.851,0.055,26.932,0.074,1.051,0.71,0.172,0.249,26.399,-1.548
50.0789361,41.7116474,3248.754,4110.938,24.554,0.043,26.69,0.063,0.855,0.693,0.145,0.157,26.157,-1.603
50.0781538,41.7112947,3230.127,4156.391,23.519,0.029,25.653,0.033,0.885,0.696,0.059,0.14,25.12,-1.601
50.0942893,41.7701942,1397.948,234.836,24.537,0.043,27.186,0.141,1.016,1.478,0.077,0.061,26.653,-2.116
50.1003126,41.7307846,3349.568,2319.826,25.109,0.06,27.236,0.102,1.158,0.897,0.067,0.298,26.703,-1.594
50.0875436,41.7301773,2824.82,2764.011,25.089,0.09,27.392,0.091,1.984,0.593,0.395,0.136,26.859,-1.77
50.0768585,41.7217102,2727.23,3595.759,25.094,0.052,27.123,0.082,0.934,0.724,0.11,0.242,26.59,-1.496
50.0811392,41.7126667,3300.077,3981.429,25.257,0.041,27.351,0.107,0.452,0.752,0.002,0.232,26.818,-1.561
50.0823052,41.7080083,3550.341,4213.366,24.881,0.063,27.058,0.074,1.427,0.666,0.278,0.213,26.525,-1.644
50.0389532,41.7395246,327.283,3779.398,25.181,0.094,28.075,0.188,1.898,0.797,0.357,0.133,27.542,-2.361
50.0818952,41.7104218,3429.055,4086.985,25.405,0.066,27.891,0.182,0.872,0.881,0.075,0.268,27.358,-1.953
