RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.9843919,41.2900647,1716.198,2754.107,24.037,0.052,25.711,0.06,1.462,1.08,0.171,-0.008,-1.674
50.0120722,41.2940483,3240.774,2770.236,25.389,0.062,27.006,0.092,0.848,0.473,0.083,-0.042,-1.617
50.0213721,41.2951313,3749.326,2793.562,24.169,0.044,25.635,0.049,1.108,0.87,0.128,-0.015,-1.466
49.9878283,41.2899099,1896.187,2801.957,24.198,0.043,25.716,0.056,1.04,0.989,0.129,0.037,-1.518
50.0142622,41.2938774,3354.452,2805.789,24.597,0.051,26.288,0.096,1.121,1.243,0.181,-0.157,-1.691
49.9768976,41.2876555,1284.373,2843.552,24.574,0.042,26.173,0.079,0.836,1.051,0.052,0.164,-1.599
49.9743115,41.2867104,1133.727,2882.431,24.401,0.051,25.754,0.051,1.212,0.813,0.055,-0.051,-1.353
49.9759511,41.2866854,1220.306,2901.825,24.282,0.053,26.2,0.071,1.364,0.844,0.226,-0.063,-1.918
50.0259149,41.293742,3970.372,2940.316,24.533,0.032,25.859,0.048,0.583,0.659,0.088,0.149,-1.326
49.9756884,41.286072,1197.598,2942.286,25.443,0.057,26.794,0.089,0.708,0.622,0.072,-0.087,-1.351
49.9858726,41.2872724,1754.772,2967.054,23.553,0.056,25.06,0.041,1.847,1.046,0.223,0.185,-1.507
49.9626537,41.2833493,467.477,2994.19,25.312,0.07,26.806,0.097,1.071,0.692,0.239,0.064,-1.494
50.0056186,41.2895636,2834.528,3017.458,23.568,0.058,24.798,0.026,1.975,0.613,0.252,0.044,-1.23
49.9917988,41.2873047,2069.464,3028.453,24.374,0.059,26.527,0.064,1.412,0.478,0.239,-0.146,-2.153
50.0068789,41.2890632,2894.207,3066.295,24.245,0.029,25.637,0.048,0.562,0.824,0.022,-0.046,-1.392
49.9610387,41.2820323,362.983,3069.735,25.389,0.053,26.592,0.106,0.615,1.029,-0.059,0.217,-1.203
49.9851564,41.2855748,1692.515,3079.153,25.293,0.066,26.588,0.073,0.987,0.579,0.218,0.096,-1.295
49.9620209,41.2820235,414.936,3080.931,25.182,0.066,26.578,0.077,1.072,0.64,0.159,-0.014,-1.396
50.022175,41.2907404,3729.228,3112.041,24.658,0.04,25.857,0.061,0.717,0.986,0.054,0.173,-1.199
50.0168581,41.2890883,3423.717,3171.604,24.445,0.05,26.207,0.085,1.159,1.141,0.025,0.199,-1.762
49.9863221,41.2843031,1736.137,3181.42,25.346,0.07,26.582,0.105,1.025,1.032,0.244,0.009,-1.236
50.0004677,41.2858967,2509.008,3220.919,25.241,0.049,26.693,0.11,0.625,0.959,0.045,-0.042,-1.452
